#one-scaled MTG generated by module "trees"								
CODE:	FORM-A							
								
CLASSES:								
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION				
$	0	FREE      	FREE      	IMPLICIT				
N	1	CONNECTED 	FREE      	IMPLICIT				
V	2	NONE      	FREE      	EXPLICIT				
								
DESCRIPTION:								
LEFT	RIGHT	RELTYPE	MAX					
V	V	+	?					
V	V	<	?					
								
FEATURES:								
NAME	TYPE							
								
Length	INT							
HalfNbCat	INT							
HalfNbLeaves	INT							
IN	INT							
								
MTG:								
ENTITY-CODE					Length	HalfNbCat	HalfNbLeaves	IN
/N0								
	/V0				318	16	3	18
	^<V1				6	2	1	3
	^<V2				16	3	2	4
	^<V3				18	2	1	3
	^<V4				32	2	1	3
	^<V5				67	3	2	5
		+V6			46	1	0	1
		^<V7			58	2	1	3
		^<V8			48	2	1	3
		^<V9			61	2	1	3
		^<V10			27	3	1	3
		^<V11			74	3	2	4
		^<V12			51	2	1	3
		^<V13			63	2	1	3
		^<V14			31	2	1	3
		+V15			42	1	0	1
		^<V16			52	2	1	3
		^<V17			57	3	1	4
		^<V18			65	2	2	4
		^<V19			65	2	2	4
		^<V20			59	2	2	4
		^<V21			71	2	2	4
		^<V22			82	2	2	4
		^<V23			38	3	1	4
			+V24		19	1	0	1
			+V25		24	1	0	1
	^<V26				76	2	1	3
	^<V27				73	3	2	5
	^<V28				94	2	2	4
		+V29			109	1	1	2
		^<V30			53	3	1	4
		^<V31			93	4	2	5
		^<V32			107	3	2	5
		^<V33			38	3	1	3
		^<V34			45	3	1	4
		+V35			99	1	1	2
		^<V36			100	5	2	7
		^<V37			89	2	2	4
		^<V38			89	2	2	4
		^<V39			116	2	3	5
			+V40		10	1	0	1
			+V41		9	1	0	1
			^<V42		3	3	0	3
		^<V43			53	3	1	4
	^<V44				101	3	1	4
	^<V45				62	4	2	5
	^<V46				62	4	1	4
		+V47			130	2	2	3
		^<V48			49	3	1	4
		^<V49			51	3	2	5
		^<V50			104	2	2	4
	^<V51				93	1	2	3
		+V52			95	1	1	2
		^<V53			76	2	2	4
		^<V54			72	2	2	4
		^<V55			165	3	3	6
			+V56		25	1	0	1
			+V57		25	1	0	1
	^<V58				145	4	4	8
	^<V59				70	4	2	6
		+V60			162	2	2	4
		^<V61			90	8	1	9
			+V62		83	1	0	1
			^<V63		5	4	1	4
	^<V64				107	6	1	7
		+V65			139	2	3	4
/N1								
	/V0				200	10	3	13
	^<V1				9	3	2	5
	^<V2				15	2	1	3
	^<V3				25	3	2	4
	^<V4				33	2	1	3
	^<V5				48	3	2	5
	^<V6				45	3	2	4
	^<V7				78	3	2	5
		+V8			59	1	1	2
		^<V9			88	2	2	4
		^<V10			44	2	1	3
		^<V11			47	4	1	5
		+V12			59	1	1	2
		^<V13			79	2	2	4
		^<V14			47	2	1	3
		^<V15			56	3	1	4
		^<V16			52	3	1	4
		^<V17			34	2	1	3
	^<V18				74	3	2	5
	^<V19				58	2	2	4
	^<V20				81	5	2	6
		+V21			27	1	0	1
		^<V22			89	3	1	4
		+V23			27	1	0	1
		^<V24			89	3	1	4
		+V25			13	1	0	1
		^<V26			93	4	1	4
		^<V27			64	3	1	4
		^<V28			64	3	1	4
		+V29			10	1	0	1
		^<V30			92	4	1	4
		^<V31			70	3	1	4
		^<V32			64	2	1	3
/N2								
	/V0				227	12	2	13
	^<V1				8	2	1	3
	^<V2				18	2	1	3
	^<V3				44	2	2	4
	^<V4				36	2	1	3
	^<V5				82	3	2	5
		+V6			17	1	0	1
		^<V7			53	2	1	3
		^<V8			53	2	1	3
		^<V9			58	3	1	4
		^<V10			67	2	1	3
		^<V11			53	2	1	3
		^<V12			51	2	1	3
		^<V13			68	2	1	3
		^<V14			38	2	1	3
		+V15			16	1	0	1
		^<V16			61	2	1	3
		^<V17			52	2	1	3
		^<V18			53	3	1	4
		^<V19			77	3	1	4
		^<V20			10	3	0	3
		^<V21			36	2	1	3
		^<V22			59	2	1	3
		^<V23			62	3	1	4
	^<V24				67	4	1	5
	^<V25				46	3	1	4
	^<V26				46	3	1	4
	^<V27				152	3	2	5
		+V28			35	1	0	1
		^<V29			62	4	1	4
		^<V30			51	2	1	3
		^<V31			110	4	2	5
		^<V32			40	4	1	4
		+V33			40	1	0	1
		^<V34			85	3	1	4
		^<V35			56	2	1	3
		^<V36			93	3	2	4
		^<V37			89	3	2	4
		^<V38			23	3	1	3
	^<V39				40	4	1	4
	^<V40				62	4	1	5
	^<V41				172	3	2	5
		+V42			90	1	0	1
		^<V43			77	2	1	3
		^<V44			67	3	1	4
		+V45			85	1	0	1
		^<V46			74	2	2	4
		^<V47			20	3	0	3
		^<V48			40	2	1	3
	^<V49				125	4	2	6
